Ego Artist Name,Related Artist Name,Artist ID,External URL,Followers,Genres,Popularity,Image URL
Node1,Escape Velocity,2tb72keD7ZfOudHYldg84Z,https://open.spotify.com/artist/2tb72keD7ZfOudHYldg84Z,196,,13,https://i.scdn.co/image/ab67616d0000b273f959b1fa0be59f12a9339110
Node1,Shah Feryan,2k3wtmQ6gYbYAS7Mrv7wKx,https://open.spotify.com/artist/2k3wtmQ6gYbYAS7Mrv7wKx,166,calming instrumental,40,https://i.scdn.co/image/ab67616d0000b2732223237e2b63c57314ff5a14
Node1,Easemoreland,4Bwo0At2lHqstlaKFAaEjD,https://open.spotify.com/artist/4Bwo0At2lHqstlaKFAaEjD,238,,9,https://i.scdn.co/image/ab67616d0000b273f218c32622cb4fb589d425cf
Node1,Whispers in Haze,1lixcMl0CmYCkIX0ct66hP,https://open.spotify.com/artist/1lixcMl0CmYCkIX0ct66hP,283,calming instrumental,39,https://i.scdn.co/image/ab67616d0000b273d742a24c6e8449d651a08334
Node1,Static Garden,3uuH2jEYv8ZArIf83io4hN,https://open.spotify.com/artist/3uuH2jEYv8ZArIf83io4hN,294,background music,18,https://i.scdn.co/image/ab6761610000e5eb1e38d27eec3d7dafd1ec7ba1
Node1,Chuck Namaste,156kibEzCQReW228ztwjKK,https://open.spotify.com/artist/156kibEzCQReW228ztwjKK,118,,14,https://i.scdn.co/image/ab6761610000e5ebfe859f9db17c8a38967df2a7
Node1,Simone Baillard,7pJOC2WVTR888AUtLPCoLh,https://open.spotify.com/artist/7pJOC2WVTR888AUtLPCoLh,111,,41,https://i.scdn.co/image/ab6761610000e5eb5064b1b4499d050e97c0fcec
Node1,LUUNA,2c7WrY7xC9wsZQNZpBZp9N,https://open.spotify.com/artist/2c7WrY7xC9wsZQNZpBZp9N,446,,14,https://i.scdn.co/image/ab67616d0000b27391bf11c2a98168cd4d8a9057
Node1,Beyond The Bubble,7M4nJXpkznecW7NGJTu45o,https://open.spotify.com/artist/7M4nJXpkznecW7NGJTu45o,195,background music,16,https://i.scdn.co/image/ab67616d0000b273329535da58bf60f0cd5e7dcb
Node1,Mr Pillow,3LtL0LR8HOlRULZKHf9obA,https://open.spotify.com/artist/3LtL0LR8HOlRULZKHf9obA,163,background music,18,https://i.scdn.co/image/ab67616d0000b273efd6a8f9fe4045d1b723776f
Taylor Swift,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,48777809,"pop, post-teen pop",82,https://i.scdn.co/image/ab6761610000e5ebc3c753851496854e29abff7a
